EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Incident,Technology,Transportation accident,Marine,Vancouver Island (BC),1/1/1906 0:00,"British Columbia, 1906. 126 dead: wreck of ""Valencia"" off Vancouver Island.",126,0,0,,,1/1/1906 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1910 0:00,"Prairie Provinces, 1910. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1910 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Heat Event,Eastern Canada,7/8/1912 0:00,"Eastern Canada, July 8-10, 1912. Temperatures of >32°C from Ontario to the Atlantic Ocean; at least 3 heat-related deaths in adults were reported, while many more infant deaths were believed to occur in poor areas; one Ontario farmer committed suicide, while a mother killed her children (July 9); wheat, barley, and oats grew below average height and grade.",3,0,0,,,7/10/1912 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Newfoundland coast,1/1/1914 0:00,"Newfoundland, 1914. 173 died when the ship ""Southern Cross"" vanished in storm off coast of Newfoundland.",173,0,0,,,1/1/1914 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1914 0:00,"Prairie Provinces, 1914. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1914 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Labrador,4/1/1914 0:00,"Labrador, April 1, 1914. Seventy-seven sealers froze to death during a violent storm on the ice off the southeast coast of Labrador.  At the height of the storm, from March 31-April 2, the temperature was -23°C with winds from the northwest at 64 km/h.  Captain Wes Keane of the ""Newfoundland,"" his ship being stuck in the ice for three days, suggested to the sealers to walk across the ice to the hunt; and if the weather deteriorated they could take shelter on his father's ship; after a long walk, the men found no seals but came upon the ship ""Stephano"" commanded by Captain Abram Keane; they were taken aboard and sailed to the site of the hunt but told to walk back to their own ship after the hunt; the ""Newfoundland"" had no radio aboard; both ships left not knowing that the men were missing lost on the ice.",77,0,0,,,4/1/1914 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1917 0:00,"Prairie Provinces, 1917. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,1/1/1917 0:00,,,,,,,,0,0
Disaster,Natural,Biological,Epidemic,Across Canada,1/1/1918 0:00,"Across Canada, 1918-1925. More than 50,000 dead, two million affected; as part of a world-wide outbreak, Spanish Influenza hit Canadians hard, affecting more than one quarter of the population. The Canadian Red Cross assisted 230 communities in 1918.",50000,2000000,0,,,1/1/1925 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1918 0:00,"Prairie Provinces, 1918. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1918 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Drought,Prairie Provinces,1/1/1919 0:00,"Prairie Provinces, 1919. Cereal crop drought occurred in parts of the Prairies.",0,0,0,0,0,12/31/1919 0:00,,,,,,,,0,0
